,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
125,2014,4,IND,TEN,41,17,16,85.0,2.5856962,1.0,5.3125,0.1616060125,0.0625,1
126,2014,4,JAX,LAC,14,33,20,42.0,-6.621519,0.0,2.1,-0.33107595,0.0,1
127,2014,4,KC,NE,41,14,16,75.0,-2.1308522,0.0,4.6875,-0.1331782625,0.0,1
128,2014,4,LAC,JAX,33,14,25,85.0,-8.540484,1.0,3.4,-0.34161936,0.04,1
129,2014,4,LV,MIA,14,38,35,157.0,-8.065668,2.0,4.485714285714286,-0.23044765714285717,0.05714285714285714,0
131,2014,4,MIA,LV,38,14,18,53.0,-13.40277,0.0,2.9444444444444446,-0.7445983333333334,0.0,1
132,2014,4,MIN,ATL,41,28,22,123.0,4.552578,1.0,5.590909090909091,0.2069353636363636,0.045454545454545456,0
133,2014,4,NE,KC,14,41,36,209.0,-0.2970661,1.0,5.805555555555555,-0.008251836111111112,0.027777777777777776,0
135,2014,4,NO,DAL,17,38,32,193.0,5.679905,2.0,6.03125,0.17749703125,0.0625,0
136,2014,4,NYG,WAS,45,14,17,86.0,0.09499586,1.0,5.0588235294117645,0.0055879917647058824,0.058823529411764705,1
137,2014,4,NYJ,DET,17,24,24,91.0,-1.8682306,1.0,3.7916666666666665,-0.07784294166666667,0.041666666666666664,1
138,2014,4,PHI,SF,21,26,40,220.0,3.643117,0.0,5.5,0.091077925,0.0,0
